iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
IRL,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,8308.509781719833,tonnes,annual,2023-10-10 22:40:45.566822,2023-11-02 20:46:28.879827
IRL,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,539280.4899995957,tonnes,annual,2023-10-10 22:40:45.566841,2023-11-09 22:35:19.036457
IRL,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,977138.955496231,tonnes,annual,2023-10-10 22:40:45.56685,2023-11-02 20:46:28.879827
RUS,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,847436283.1498264,tonnes,annual,2023-10-10 22:40:44.795956,2023-11-02 20:46:28.879827
RUS,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,17244912.25534533,tonnes,annual,2023-10-10 22:40:44.795966,2023-11-02 20:46:28.879827
RUS,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2270141544.2158165,tonnes,annual,2023-10-10 22:40:44.795996,2023-11-02 20:46:28.879827
SVN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,582.5654476328067,tonnes,annual,2023-10-10 22:40:45.52274,2023-11-02 20:46:28.879827
SVN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,23.188609715419627,tonnes,annual,2023-10-10 22:40:45.52275,2023-11-02 20:46:28.879827
SVN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2495.625749154926,tonnes,annual,2023-10-10 22:40:45.522777,2023-11-02 20:46:28.879827
USA,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,713146107.3508707,tonnes,annual,2023-10-10 22:40:44.804443,2023-11-02 20:46:28.879827
RUS,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1361334668.3591173,tonnes,annual,2023-10-10 22:40:44.795987,2023-11-09 22:35:19.036457
